food_id,food_name_original,food_name_normalized,source,source_url,category_original,category_normalized,water_g,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,ash_g,calcium_mg,phosphorus_mg,iron_mg,sodium_mg,potassium_mg,copper_mg,zinc_mg,retinol_mcg,beta_carotene_mcg,carotene_total_mcg,vitamin_a_mcg,vitamin_b1_mg,vitamin_b2_mg,niacin_mg,vitamin_c_mg,edible_portion_percent,unit_basis,scraped_at,cleaned_at,missing_nutrient_count,completeness_score,notes
tkpi_0001,"Beras giling, mentah (Rice, raw)","beras giling, mentah (rice, raw)",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,,357.0,8.4,1.7,77.1,0.2,0.8,147.0,81.0,1.8,27.0,71.0,0.1,0.5,0.0,0.0,0.0,,0.2,0.08,2.6,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,3,0.8696,
tkpi_0002,"Beras giling var pelita, mentah (Rice, raw)","beras giling var pelita, mentah (rice, raw)",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,,369.0,9.5,1.4,77.1,0.4,0.6,68.0,171.0,1.4,34.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.26,0.0,0.0,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,3,0.8696,
tkpi_0003,"Beras giling var rojolele, mentah (Rice. Raw)","beras giling var rojolele, mentah (rice. raw)",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,12.0,357.0,8.4,1.7,77.1,0.2,0.8,147.0,81.0,1.8,34.0,112.9,0.14,0.1,,0.0,80.0,,0.2,0.02,1.5,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,3,0.8696,
tkpi_0004,"Beras hitam, mentah (Rice, raw)","beras hitam, mentah (rice, raw)",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,12.9,351.0,8.0,1.3,76.9,20.1,0.9,6.0,198.0,0.1,15.0,105.0,0.1,1.6,0.0,0.0,0.0,,0.21,0.06,0.0,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,2,0.913,
tkpi_0005,"Beras jagung kuning, kering, mentah (Corn, yellow","beras jagung kuning, kering, mentah (corn, yellow",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,10.8,358.0,5.5,0.1,82.7,10.0,0.9,20.0,90.0,1.4,1.0,80.0,0.1,4.1,,641.0,,,0.12,0.08,1.0,3.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,4,0.8261,
tkpi_0006,"Beras jagung putih, kering, mentah (Corn, white, died, crushed, raw)","beras jagung putih, kering, mentah (corn, white, died, crushed, raw)",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,22.5,307.0,4.8,0.1,71.8,10.0,0.8,17.0,78.0,1.2,1.0,70.0,0.1,3.5,,301.0,,,0.15,0.07,0.9,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,4,0.8261,
tkpi_0007,"Beras ketan hitam tumbuk, mentah (Glutinous rice, black, husk,raw)","beras ketan hitam tumbuk, mentah (glutinous rice, black, husk,raw)",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,13.7,360.0,8.0,2.3,74.5,1.0,1.5,10.0,347.0,6.2,11.0,288.0,0.28,2.2,0.0,0.0,0.0,,0.24,0.1,2.0,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,2,0.913,
tkpi_0008,"Beras ketan putih tumbuk, mentah (Glutinous rice, white, husk,raw)","beras ketan putih tumbuk, mentah (glutinous rice, white, husk,raw)",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,12.9,361.0,7.4,0.8,78.4,0.4,0.5,13.0,157.0,3.4,3.0,282.0,0.28,2.2,0.0,0.0,0.0,,0.28,0.0,1.4,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,2,0.913,
tkpi_0009,"Beras ladang, mentah (Rice, raw)","beras ladang, mentah (rice, raw)",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,9.8,376.0,7.5,3.8,78.0,5.9,0.9,20.0,110.0,0.8,10.0,70.0,0.1,1.4,0.0,0.0,,,0.2,0.2,5.1,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,3,0.8696,
tkpi_0010,"Beras menir, mentah (Rice, crushed, raw)","beras menir, mentah (rice, crushed, raw)",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,12.0,362.0,7.7,4.4,73.0,0.2,0.2,22.0,272.0,3.7,90.0,201.0,0.1,0.5,0.0,0.0,,,0.55,0.0,1.9,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,3,0.8696,
