food_id,food_name_original,food_name_normalized,source,source_url,category_original,category_normalized,water_g,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,ash_g,calcium_mg,phosphorus_mg,iron_mg,sodium_mg,potassium_mg,copper_mg,zinc_mg,retinol_mcg,beta_carotene_mcg,carotene_total_mcg,vitamin_a_mcg,vitamin_b1_mg,vitamin_b2_mg,niacin_mg,vitamin_c_mg,edible_portion_percent,unit_basis,scraped_at,cleaned_at,missing_nutrient_count,completeness_score,notes,name_norm,magnesium_mg,magnesium_mg_source,magnesium_mg_confidence,sugars_total_g,sugars_total_g_source,sugars_total_g_confidence,saturated_fat_g,saturated_fat_g_source,saturated_fat_g_confidence,cholesterol_mg,cholesterol_mg_source,cholesterol_mg_confidence,vitamin_b6_mg,vitamin_b6_mg_source,vitamin_b6_mg_confidence,vitamin_b12_mcg,vitamin_b12_mcg_source,vitamin_b12_mcg_confidence
myfcd_0001,"BISCUIT, COCONUT","biscuit, coconut",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101061/0/20/0/0/0,Cereals and grain products,cereals and grain products,2.2267,450.4433,8.3233,17.4433,65.04,5.2,1.7667,67.70755200000004,100.97657400000004,1.471962,391.48535400000003,406.3458580000001,0.009937999999999992,0.7143200000000001,0.034398,0.0,,,0.5322420000000002,0.33202999999999994,6.874150000000001,0.9969240000000003,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,16,0.3043,"{""dg"":"""",""dc"":""""}",biscuit coconut,28.0,USDA_direct_medium,0.4305,21.16,USDA_direct_medium,0.4305,5.291,USDA_direct_medium,0.4305,0.0,USDA_direct_medium,0.4305,0.074,USDA_direct_medium,0.4305,0.19,USDA_direct_medium,0.4305
myfcd_0002,"BISCUIT, LEMON PUFF","biscuit, lemon puff",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101069/0/20/0/0/0,Cereals and grain products,cereals and grain products,2.66,454.685,7.87,18.7983,63.505,5.1667,2.0,83.6667,107.3333,1.49,518.6667,71.75,0.0001,0.5667,0.04,0.0,,,0.9127,0.0967,0.0,0.0,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,3,0.8696,"{""dg"":"""",""dc"":""""}",biscuit lemon puff,32.0977130977131,USDA_category_mean,0.3557,16.40905511811024,USDA_category_mean,0.3557,3.470831349206349,USDA_category_mean,0.3557,14.496688741721854,USDA_category_mean,0.3557,0.1068706896551724,USDA_category_mean,0.3557,0.1430875576036866,USDA_category_mean,0.3557
myfcd_0003,"BISCUIT, MARIE","biscuit, marie",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101070/0/20/0/0/0,Cereals and grain products,cereals and grain products,3.8933,446.16,8.4633,16.8933,65.0667,3.5833,2.1,70.5,100.1667,1.55,575.5,95.6,0.04,0.5783,0.0,0.0,,,0.155,0.085,0.5183,0.0,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,3,0.8696,"{""dg"":"""",""dc"":""""}",biscuit marie,28.0,USDA_direct_high,0.9437,21.16,USDA_direct_high,0.9437,5.291,USDA_direct_high,0.9437,0.0,USDA_direct_high,0.9437,0.074,USDA_direct_high,0.9437,0.19,USDA_direct_high,0.9437
myfcd_0004,"BISCUIT, MILK (BISKUT SUSU)","biscuit, milk (biskut susu)",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101071/0/20/0/0/0,Cereals and grain products,cereals and grain products,2.8317,472.5,8.825,21.4183,58.2467,5.7633,2.9167,391.5,116.0,3.0833,641.1667,123.0,0.0001,0.5983,0.0468,0.0,,,0.0767,0.2783,0.0,0.0,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,3,0.8696,"{""dg"":"""",""dc"":""""}",biscuit milk biskut susu,32.0977130977131,USDA_category_mean,0.3399,16.40905511811024,USDA_category_mean,0.3399,3.470831349206349,USDA_category_mean,0.3399,14.496688741721854,USDA_category_mean,0.3399,0.1068706896551724,USDA_category_mean,0.3399,0.1430875576036866,USDA_category_mean,0.3399
myfcd_0005,CROISSANT,croissant,MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101081/0/20/0/0/0,Cereals and grain products,cereals and grain products,16.28,413.58,8.6725,20.25,37.2469,4.2375,1.4,65.97218200000002,85.5,1.4095819999999994,444.6239739999999,276.023884,0.0009240000000000002,0.6986359999999999,0.0,0.0,,,0.11357800000000001,0.47686600000000007,6.824620000000001,2.3095200000000005,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,13,0.4348,"{""dg"":"""",""dc"":""""}",croissant,,not_matched,,,not_matched,,,not_matched,,,not_matched,,,not_matched,,,not_matched,
myfcd_0006,"BREAD, RAISIN (ROTI KISMIS)","bread, raisin (roti kismis)",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101086/0/20/0/0/0,Cereals and grain products,cereals and grain products,3.062,449.212,9.924,19.252,59.062,6.5,2.2,5116.8,32956.4,304.04,102198.4,23128.2,200.3205,2608.8,0.0118,0.0,,,0.172,5.342,2.364,0.0,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,3,0.8696,"{""dg"":"""",""dc"":""""}",bread raisin roti kismis,26.0,USDA_direct_medium,0.4713,5.68,USDA_direct_medium,0.4713,1.081,USDA_direct_medium,0.4713,0.0,USDA_direct_medium,0.4713,0.069,USDA_direct_medium,0.4713,0.0,USDA_direct_medium,0.4713
myfcd_0007,"BUN, CHEESE (BAN KEJU)","bun, cheese (ban keju)",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101094/0/20/0/0/0,Cereals and grain products,cereals and grain products,16.7817,415.3967,12.2167,20.2567,46.0567,2.8767,1.8133,56.41868200000001,240.11991799999998,1.5939240000000001,428.38333599999993,362.05757199999994,0.004209999999999997,1.5828239999999993,0.0021299999999999995,0.4432579999999999,,,0.12462200000000002,0.49634800000000007,6.982578000000002,2.0249480000000006,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,16,0.3043,"{""dg"":"""",""dc"":""""}",bun cheese ban keju,32.0977130977131,USDA_category_mean,0.3387,16.40905511811024,USDA_category_mean,0.3387,3.470831349206349,USDA_category_mean,0.3387,14.496688741721854,USDA_category_mean,0.3387,0.1068706896551724,USDA_category_mean,0.3387,0.1430875576036866,USDA_category_mean,0.3387
myfcd_0008,"Bun, coconut (Ban kelapa)","bun, coconut (ban kelapa)",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101096/0/20/0/0/0,Cereals and grain products,cereals and grain products,29.3667,323.24161200000015,7.2167,6.8833,51.05,4.4333,1.05,65.2667,64.9,1.0,197.5333,105.8667,0.0001,0.8333,0.0,0.0,,,0.10276600000000002,0.4138759999999999,0.33761399999999997,3.4833,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,9,0.6087,,bun coconut ban kelapa,32.0977130977131,USDA_category_mean,0.2634,16.40905511811024,USDA_category_mean,0.2634,3.470831349206349,USDA_category_mean,0.2634,14.496688741721854,USDA_category_mean,0.2634,0.1068706896551724,USDA_category_mean,0.2634,0.1430875576036866,USDA_category_mean,0.2634
myfcd_0009,"Bun, kaya (Ban kaya)","bun, kaya (ban kaya)",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101099/0/20/0/0/0,Cereals and grain products,cereals and grain products,30.4,298.8658640000001,7.1333,2.9,54.7333,3.9333,0.9,61.9,58.8,0.6667,170.3333,80.4667,0.0001,0.7333,0.016939999999999993,0.0,,,0.08149799999999999,0.19905400000000004,0.305638,2.0667,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,9,0.6087,,bun kaya ban kaya,,not_matched,,,not_matched,,,not_matched,,,not_matched,,,not_matched,,,not_matched,
myfcd_0010,"Bun, potato (Ban kentang)","bun, potato (ban kentang)",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101100/0/20/0/0/0,Cereals and grain products,cereals and grain products,29.65,334.69412800000015,9.15,8.9833,46.2667,4.65,1.3,45.15,89.1,0.9167,274.2,140.5667,0.0001,0.95,0.0355,0.0,,,0.09189599999999999,0.14544999999999997,7.334456000000001,2.85,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,8,0.6522,,bun potato ban kentang,28.0,USDA_direct_medium,0.4318,9.38,USDA_direct_medium,0.4318,0.0,USDA_direct_medium,0.4318,0.0,USDA_direct_medium,0.4318,0.232,USDA_direct_medium,0.4318,0.15,USDA_direct_medium,0.4318
myfcd_0011,"Bun, red beans (Ban kacang merah)","bun, red beans (ban kacang merah)",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101102/0/20/0/0/0,Cereals and grain products,cereals and grain products,28.0333,301.4678120000001,7.9333,5.8333,52.4,4.7,1.1,79.9667,70.6333,1.0667,169.1333,130.2,0.0001,0.9333,0.01940799999999999,0.0,,,0.09653400000000001,0.20989400000000002,1.9076999999999993,2.9,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,9,0.6087,,bun red beans ban kacang merah,70.20994475138122,USDA_category_mean,0.2148,0.9388429752066116,USDA_category_mean,0.2148,0.4235747126436781,USDA_category_mean,0.2148,3.9820359281437128,USDA_category_mean,0.2148,0.2239111111111111,USDA_category_mean,0.2148,0.0151219512195121,USDA_category_mean,0.2148
myfcd_0012,"COOKIES, PEANUT","cookies, peanut",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101109/0/20/0/0/0,Cereals and grain products,cereals and grain products,1.2733,508.4933,11.6133,26.1867,56.59,2.9,1.4367,88.87934000000001,284.3697899999999,1.6502119999999996,379.77667600000007,566.726866,0.006572,1.0289300000000003,0.002456,0.4432579999999999,,,0.5557140000000003,0.59103,7.484958000000002,2.288454000000001,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,16,0.3043,"{""dg"":"""",""dc"":""""}",cookies peanut,39.0,USDA_direct_medium,0.6019,,USDA_direct_medium,0.6019,4.438,USDA_direct_medium,0.6019,31.0,USDA_direct_medium,0.6019,0.084,USDA_direct_medium,0.6019,0.09,USDA_direct_medium,0.6019
myfcd_0013,"MUFFIN, CHOCOLATE","muffin, chocolate",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101112/0/20/0/0/0,Cereals and grain products,cereals and grain products,10.92,441.7217,7.5017,19.4483,59.17,3.8967,1.0117,52.1667,85.6667,1.2548160000000002,322.3333,144.3333,0.0018940000000000018,0.648858,0.0,0.0,,,0.13327199999999997,0.4468079999999999,7.070230000000001,2.5767860000000002,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,10,0.5652,"{""dg"":"""",""dc"":""""}",muffin chocolate,,USDA_direct_medium,0.4473,,USDA_direct_medium,0.4473,1.865,USDA_direct_medium,0.4473,,USDA_direct_medium,0.4473,,USDA_direct_medium,0.4473,,USDA_direct_medium,0.4473
myfcd_0014,"MUFFIN, VANILLA","muffin, vanilla",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101113/0/20/0/0/0,Cereals and grain products,cereals and grain products,44.95935999999999,235.3132100000001,7.603773999999999,11.056431999999994,34.30327,8.038511999999999,1.4066360000000002,85.05969200000001,177.83565599999986,1.145454,326.646372,406.20901000000003,0.00019199999999999998,0.793188,0.0,0.0,,,0.09357600000000002,1.0731139999999997,8.669418000000002,4.708853999999998,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,23,0.0,"{""dg"":"""",""dc"":""""}",muffin vanilla,32.0977130977131,USDA_category_mean,0.3998,16.40905511811024,USDA_category_mean,0.3998,3.470831349206349,USDA_category_mean,0.3998,14.496688741721854,USDA_category_mean,0.3998,0.1068706896551724,USDA_category_mean,0.3998,0.1430875576036866,USDA_category_mean,0.3998
myfcd_0015,"CEREAL, BREAKFAST, BRAN FLAKES","cereal, breakfast, bran flakes",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101115/0/20/0/0/0,Cereals and grain products,cereals and grain products,4.175,263.45,14.595,1.59,47.69,27.52,4.43,234.2564320000001,436.8159059999998,2.1666319999999994,119.85330199999994,1118.4372580000004,0.003394,2.239136,0.06280599999999999,0.0,,,0.11973600000000001,0.8020200000000002,10.120946000000002,3.9897699999999983,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,16,0.3043,"{""dg"":"""",""dc"":""""}",cereal breakfast bran flakes,32.0977130977131,USDA_category_mean,0.2895,16.40905511811024,USDA_category_mean,0.2895,3.470831349206349,USDA_category_mean,0.2895,14.496688741721854,USDA_category_mean,0.2895,0.1068706896551724,USDA_category_mean,0.2895,0.1430875576036866,USDA_category_mean,0.2895
myfcd_0016,"CEREAL, BREAKFAST, CHOCOLATE FLAVOURED","cereal, breakfast, chocolate flavoured",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101116/0/20/0/0/0,Cereals and grain products,cereals and grain products,2.6033,359.31,6.3767,0.35,82.6633,5.5633,2.4433,58.12163000000003,79.31417200000001,1.433974,169.76453999999998,401.82624599999997,0.005151999999999999,0.7079439999999999,0.100584,0.0,,,0.5432920000000001,0.29809800000000003,7.149332,2.1142060000000007,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,16,0.3043,"{""dg"":"""",""dc"":""""}",cereal breakfast chocolate flavoured,38.0,USDA_direct_medium,0.4369,40.32,USDA_direct_medium,0.4369,11.29,USDA_direct_medium,0.4369,0.0,USDA_direct_medium,0.4369,0.328,USDA_direct_medium,0.4369,0.07,USDA_direct_medium,0.4369
myfcd_0017,"CEREAL, BREAKFAST, GRANOLA","cereal, breakfast, granola",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101117/0/20/0/0/0,Cereals and grain products,cereals and grain products,3.64,436.9133,9.44,18.1533,58.9433,8.4767,1.3467,95.70207400000001,291.414012,1.5369540000000002,287.97409999999996,355.36108400000006,0.005967999999999992,0.8141699999999998,0.009951999999999997,0.0,,,0.13087,1.0943820000000002,7.119804000000001,2.836322,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,16,0.3043,"{""dg"":"""",""dc"":""""}",cereal breakfast granola,32.0977130977131,USDA_category_mean,0.3386,16.40905511811024,USDA_category_mean,0.3386,3.470831349206349,USDA_category_mean,0.3386,14.496688741721854,USDA_category_mean,0.3386,0.1068706896551724,USDA_category_mean,0.3386,0.1430875576036866,USDA_category_mean,0.3386
myfcd_0018,"CEREAL, BREAKFAST, MULTICOLOURED, SUGAR-FILLED RING SHAPED","cereal, breakfast, multicoloured, sugar-filled ring shaped",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101118/0/20/0/0/0,Cereals and grain products,cereals and grain products,3.4233,366.3533,7.21,1.0733,81.9633,4.3767,1.9533,62.409924000000025,83.35582600000002,1.41906,212.20634,392.59817599999985,0.005913999999999995,0.701078,0.10466399999999997,0.0,,,0.13173400000000005,0.08011399999999996,7.439382,2.0484800000000005,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,16,0.3043,"{""dg"":"""",""dc"":""""}",cereal breakfast multicoloured sugar filled ring shaped,32.0977130977131,USDA_category_mean,0.2272,16.40905511811024,USDA_category_mean,0.2272,3.470831349206349,USDA_category_mean,0.2272,14.496688741721854,USDA_category_mean,0.2272,0.1068706896551724,USDA_category_mean,0.2272,0.1430875576036866,USDA_category_mean,0.2272
myfcd_0019,"CEREAL, BREAKFAST, OAT/MULTIGRAIN","cereal, breakfast, oat/multigrain",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101119/0/20/0/0/0,Cereals and grain products,cereals and grain products,44.95935999999999,235.3132100000001,7.603773999999999,11.056431999999994,34.30327,8.038511999999999,1.4066360000000002,85.05969200000001,177.83565599999986,1.145454,326.646372,406.20901000000003,0.00019199999999999998,0.793188,0.0,0.0,,,0.09357600000000002,1.0731139999999997,8.669418000000002,4.708853999999998,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,23,0.0,"{""dg"":"""",""dc"":""""}",cereal breakfast oat multigrain,29.0,USDA_direct_medium,0.4527,12.0,USDA_direct_medium,0.4527,3.3,USDA_direct_medium,0.4527,0.0,USDA_direct_medium,0.4527,0.117,USDA_direct_medium,0.4527,0.0,USDA_direct_medium,0.4527
myfcd_0020,"COOKIES/CRACKERS, SANDWICH WITH FLAVOURED CREAM OREO","cookies/crackers, sandwich with flavoured cream oreo",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101121/0/20/0/0/0,Cereals and grain products,cereals and grain products,1.3833,462.88,5.7867,18.4267,68.4733,3.9567,1.9733,58.58283600000002,97.99387,1.4706019999999997,363.5846820000001,442.96199199999995,0.0034760000000000025,0.6485880000000002,0.10215,0.0,,,0.5654820000000002,0.21815600000000007,7.30445,1.0066760000000001,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,16,0.3043,"{""dg"":"""",""dc"":""""}",cookies crackers sandwich flavoured cream oreo,32.0977130977131,USDA_category_mean,0.3799,16.40905511811024,USDA_category_mean,0.3799,3.470831349206349,USDA_category_mean,0.3799,14.496688741721854,USDA_category_mean,0.3799,0.1068706896551724,USDA_category_mean,0.3799,0.1430875576036866,USDA_category_mean,0.3799
myfcd_0021,Breadfruits chips (Kerepek sukun),breadfruits chips (kerepek sukun),MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R102002/0/20/0/0/0,"Starchy roots, tubers and products","starchy roots, tubers and products",1.015,493.0443419999997,2.19,40.5425,50.728718,8.2625,2.1875,72.0,51.25,1.234598,309.0,901.0,0.0030500000000000037,0.6642619999999999,0.0,0.0,,,0.5746720000000003,1.1757020000000005,7.901694,2.4793200000000017,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,14,0.3913,,breadfruits chips kerepek sukun,,not_matched,,,not_matched,,,not_matched,,,not_matched,,,not_matched,,,not_matched,
myfcd_0022,"Flour, sago (Tepung sagu)","flour, sago (tepung sagu)",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R102004/0/20/0/0/0,"Starchy roots, tubers and products","starchy roots, tubers and products",10.5633,322.0350120000001,0.2017,0.0983,69.82987200000001,2.3917,0.115,3.1667,10.6667,1.28,7.0,12.5,0.0002,0.31,0.10721399999999999,0.4432579999999999,,,0.09898400000000002,0.033934,0.9330640000000002,2.7921799999999997,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,11,0.5217,,flour sago tepung sagu,31.708955223880597,USDA_category_mean,0.3963,3.343490054249548,USDA_category_mean,0.3963,0.2398865153538051,USDA_category_mean,0.3963,0.7215980024968789,USDA_category_mean,0.3963,0.175552070263488,USDA_category_mean,0.3963,0.0075409836065573,USDA_category_mean,0.3963
myfcd_0023,"Potato chips, spicy (Keropok ubi kentang berperisa rempah pedas)","potato chips, spicy (keropok ubi kentang berperisa rempah pedas)",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R102007/0/20/0/0/0,"Starchy roots, tubers and products","starchy roots, tubers and products",2.62,484.0405339999997,6.052,26.45,39.36197800000001,6.276,3.348,1.6,141.0,1.466,662.6,742.6,0.0007,0.692,0.0,0.0,,,0.5736040000000002,1.2099180000000003,8.264998000000002,2.054126,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,11,0.5217,,potato chips spicy keropok ubi kentang berperisa rempah pedas,,not_matched,,,not_matched,,,not_matched,,,not_matched,,,not_matched,,,not_matched,
