tkpi_food_id,myfcd_food_id,similarity_score
tkpi_1083,myfcd_0110,1.0
tkpi_0390,myfcd_0228,0.8102
tkpi_0467,myfcd_0035,0.7385
tkpi_0833,myfcd_0215,0.7022
tkpi_1100,myfcd_0060,0.6696
tkpi_1080,myfcd_0104,0.6422
tkpi_0933,myfcd_0221,0.6407
tkpi_0621,myfcd_0040,0.6122
tkpi_0622,myfcd_0041,0.6112
tkpi_0391,myfcd_0228,0.5893
tkpi_0259,myfcd_0030,0.5878
tkpi_0191,myfcd_0193,0.5733
tkpi_1062,myfcd_0089,0.5675
tkpi_0945,myfcd_0075,0.5661
tkpi_0860,myfcd_0075,0.5661
tkpi_0550,myfcd_0228,0.5296
tkpi_0742,myfcd_0072,0.5194
tkpi_0227,myfcd_0166,0.5143
tkpi_0106,myfcd_0187,0.4845
tkpi_0989,myfcd_0221,0.4698
tkpi_0156,myfcd_0022,0.4666
tkpi_0332,myfcd_0034,0.4631
tkpi_0045,myfcd_0169,0.4614
tkpi_1084,myfcd_0110,0.46
tkpi_0007,myfcd_0192,0.458
tkpi_0149,myfcd_0010,0.458
tkpi_0988,myfcd_0221,0.4531
tkpi_0267,myfcd_0034,0.4241
tkpi_1064,myfcd_0089,0.4154
tkpi_0985,myfcd_0219,0.4037
tkpi_1079,myfcd_0104,0.4037
tkpi_0124,myfcd_0169,0.4019
tkpi_0182,myfcd_0166,0.3924
tkpi_1074,myfcd_0110,0.3868
tkpi_0543,myfcd_0037,0.3863
tkpi_0090,myfcd_0008,0.3852
tkpi_0118,myfcd_0192,0.3843
tkpi_0549,myfcd_0228,0.3841
tkpi_0235,myfcd_0010,0.3837
tkpi_0426,myfcd_0225,0.3806
tkpi_0394,myfcd_0037,0.3743
tkpi_0163,myfcd_0024,0.3714
tkpi_0166,myfcd_0024,0.3699
tkpi_0184,myfcd_0166,0.3668
tkpi_0382,myfcd_0031,0.3656
tkpi_0165,myfcd_0024,0.3637
tkpi_0004,myfcd_0208,0.3619
tkpi_0148,myfcd_0010,0.3595
tkpi_1077,myfcd_0104,0.3551
tkpi_1097,myfcd_0069,0.3535
tkpi_1095,myfcd_0069,0.3535
tkpi_1073,myfcd_0110,0.3485
tkpi_0204,myfcd_0010,0.3448
tkpi_1098,myfcd_0067,0.3443
tkpi_0022,myfcd_0213,0.3442
tkpi_1001,myfcd_0075,0.3426
tkpi_0262,myfcd_0032,0.3361
tkpi_0261,myfcd_0032,0.3361
tkpi_0001,myfcd_0208,0.3337
tkpi_0744,myfcd_0072,0.3228
tkpi_1056,myfcd_0089,0.3215
tkpi_0586,myfcd_0228,0.3206
tkpi_0125,myfcd_0169,0.3179
tkpi_1116,myfcd_0141,0.316
tkpi_0528,myfcd_0228,0.3131
tkpi_0562,myfcd_0229,0.3129
tkpi_0009,myfcd_0208,0.3116
tkpi_0025,myfcd_0022,0.3101
tkpi_0138,myfcd_0008,0.3083
tkpi_0164,myfcd_0166,0.308
tkpi_1096,myfcd_0068,0.3062
tkpi_0099,myfcd_0173,0.3057
tkpi_0005,myfcd_0191,0.301
tkpi_0641,myfcd_0041,0.2956
tkpi_0024,myfcd_0185,0.2915
tkpi_0265,myfcd_0032,0.2898
tkpi_0861,myfcd_0075,0.2857
tkpi_0503,myfcd_0228,0.2834
tkpi_0016,myfcd_0191,0.2829
tkpi_0219,myfcd_0022,0.2822
tkpi_0012,myfcd_0208,0.277
tkpi_0381,myfcd_0031,0.2762
tkpi_0231,myfcd_0185,0.2758
tkpi_0269,myfcd_0032,0.2734
tkpi_0026,myfcd_0011,0.268
tkpi_0017,myfcd_0191,0.2674
tkpi_0018,myfcd_0191,0.2674
tkpi_0170,myfcd_0008,0.2665
tkpi_0812,myfcd_0072,0.2645
tkpi_0395,myfcd_0036,0.2642
tkpi_0140,myfcd_0168,0.2638
tkpi_0181,myfcd_0008,0.2637
tkpi_0154,myfcd_0182,0.2593
tkpi_0153,myfcd_0182,0.2593
tkpi_0233,myfcd_0022,0.2562
tkpi_0010,myfcd_0208,0.2527
tkpi_0607,myfcd_0228,0.2508
tkpi_1039,myfcd_0074,0.2495
tkpi_0036,myfcd_0192,0.2437
tkpi_0030,myfcd_0213,0.2434
tkpi_0015,myfcd_0191,0.2417
tkpi_1127,myfcd_0136,0.2416
tkpi_0232,myfcd_0022,0.2409
tkpi_0237,myfcd_0022,0.2409
tkpi_0932,myfcd_0222,0.2405
tkpi_0169,myfcd_0008,0.2399
tkpi_1088,myfcd_0114,0.2398
tkpi_0542,myfcd_0228,0.2391
tkpi_0504,myfcd_0038,0.2385
tkpi_0912,myfcd_0220,0.2384
tkpi_0225,myfcd_0022,0.2358
tkpi_0229,myfcd_0022,0.2358
tkpi_0228,myfcd_0022,0.2358
tkpi_1109,myfcd_0134,0.2322
tkpi_0914,myfcd_0220,0.2321
tkpi_1086,myfcd_0110,0.2308
tkpi_1085,myfcd_0110,0.2308
tkpi_0002,myfcd_0208,0.2308
tkpi_1082,myfcd_0110,0.2308
tkpi_1143,myfcd_0231,0.2302
tkpi_0561,myfcd_0229,0.2301
tkpi_0236,myfcd_0022,0.2298
tkpi_0040,myfcd_0022,0.2298
tkpi_0046,myfcd_0022,0.2298
tkpi_0234,myfcd_0022,0.2298
tkpi_0032,myfcd_0022,0.2297
tkpi_0062,myfcd_0171,0.2294
tkpi_0006,myfcd_0191,0.2292
tkpi_0034,myfcd_0022,0.2273
tkpi_1038,myfcd_0074,0.2263
tkpi_0003,myfcd_0208,0.226
tkpi_0544,myfcd_0036,0.2258
tkpi_0870,myfcd_0220,0.2245
tkpi_0037,myfcd_0185,0.2218
tkpi_0061,myfcd_0193,0.2216
tkpi_0496,myfcd_0225,0.2211
tkpi_0039,myfcd_0185,0.22
tkpi_0495,myfcd_0225,0.2198
tkpi_0558,myfcd_0037,0.2181
tkpi_0743,myfcd_0072,0.218
tkpi_0761,myfcd_0216,0.2169
tkpi_0462,myfcd_0230,0.2157
tkpi_1049,myfcd_0074,0.2149
tkpi_1005,myfcd_0224,0.2147
tkpi_0460,myfcd_0230,0.2143
tkpi_0380,myfcd_0031,0.2118
tkpi_0762,myfcd_0216,0.2102
tkpi_1138,myfcd_0231,0.2089
tkpi_0623,myfcd_0041,0.2087
tkpi_0240,myfcd_0022,0.2083
tkpi_1107,myfcd_0063,0.2078
tkpi_0463,myfcd_0230,0.2069
tkpi_1004,myfcd_0224,0.2064
tkpi_0013,myfcd_0208,0.2057
tkpi_0949,myfcd_0220,0.2031
tkpi_0482,myfcd_0229,0.2016
