tkpi_food_id,myfcd_food_id,similarity_score,confidence
tkpi_1083,myfcd_0110,1.0,HIGH
tkpi_0390,myfcd_0228,0.8102,HIGH
tkpi_0467,myfcd_0035,0.7385,HIGH
tkpi_0833,myfcd_0215,0.7022,HIGH
tkpi_1100,myfcd_0060,0.6696,HIGH
tkpi_1080,myfcd_0104,0.6422,MEDIUM
tkpi_0933,myfcd_0221,0.6407,MEDIUM
tkpi_0621,myfcd_0040,0.6122,MEDIUM
tkpi_0622,myfcd_0041,0.6112,MEDIUM
tkpi_0259,myfcd_0030,0.5878,MEDIUM
tkpi_0191,myfcd_0193,0.5733,MEDIUM
tkpi_1062,myfcd_0089,0.5675,MEDIUM
tkpi_0945,myfcd_0075,0.5661,MEDIUM
tkpi_0742,myfcd_0072,0.5194,MEDIUM
tkpi_0227,myfcd_0166,0.5143,MEDIUM
tkpi_0106,myfcd_0187,0.4845,MEDIUM
tkpi_0156,myfcd_0022,0.4666,MEDIUM
tkpi_0332,myfcd_0034,0.4631,MEDIUM
tkpi_0045,myfcd_0169,0.4614,MEDIUM
tkpi_0007,myfcd_0192,0.458,MEDIUM
tkpi_0149,myfcd_0010,0.458,MEDIUM
tkpi_0985,myfcd_0219,0.4037,MEDIUM
tkpi_0090,myfcd_0008,0.3852,LOW
tkpi_0426,myfcd_0225,0.3806,LOW
tkpi_0163,myfcd_0024,0.3714,LOW
tkpi_0382,myfcd_0031,0.3656,LOW
tkpi_0004,myfcd_0208,0.3619,LOW
tkpi_1097,myfcd_0069,0.3535,LOW
tkpi_1098,myfcd_0067,0.3443,LOW
tkpi_0022,myfcd_0213,0.3442,LOW
tkpi_0262,myfcd_0032,0.3361,LOW
tkpi_1116,myfcd_0141,0.316,LOW
tkpi_0562,myfcd_0229,0.3129,LOW
tkpi_1096,myfcd_0068,0.3062,LOW
tkpi_0099,myfcd_0173,0.3057,LOW
tkpi_0005,myfcd_0191,0.301,LOW
tkpi_0026,myfcd_0011,0.268,LOW
tkpi_0395,myfcd_0036,0.2642,LOW
tkpi_0140,myfcd_0168,0.2638,LOW
tkpi_0154,myfcd_0182,0.2593,LOW
tkpi_1039,myfcd_0074,0.2495,LOW
tkpi_1127,myfcd_0136,0.2416,LOW
tkpi_0932,myfcd_0222,0.2405,LOW
tkpi_1088,myfcd_0114,0.2398,LOW
tkpi_0504,myfcd_0038,0.2385,LOW
tkpi_0912,myfcd_0220,0.2384,LOW
tkpi_1109,myfcd_0134,0.2322,LOW
tkpi_1143,myfcd_0231,0.2302,LOW
tkpi_0062,myfcd_0171,0.2294,LOW
tkpi_0761,myfcd_0216,0.2169,LOW
tkpi_0462,myfcd_0230,0.2157,LOW
tkpi_1005,myfcd_0224,0.2147,LOW
