tkpi_food_id,food_name_original,category_normalized,_group
tkpi_0008,"Beras ketan putih tumbuk, mentah (Glutinous rice, white, husk,raw)",serealia,cereals
tkpi_0011,"Beras parboiled (Rice, parboiled)",serealia,cereals
tkpi_0014,"Cantel, mentah (Sorghum, raw)",serealia,cereals
tkpi_0019,"Jali, mentah (Job's tear/adlay, raw)",serealia,cereals
tkpi_0020,"Jawawut, mentah (Italian millet, raw)",serealia,cereals
tkpi_0021,"Jampang huma, mentah (Ragi millet, raw)",serealia,cereals
tkpi_0023,Nasi tim,serealia,cereals
tkpi_0027,"Bihun, mentah",serealia,cereals
tkpi_0028,Bihun goreng instan,serealia,cereals
tkpi_0029,"Bihun Jagung, mentah",serealia,cereals
tkpi_0031,"Jagung muda, rebus",serealia,cereals
tkpi_0033,"Jagung kuning pipil, rebus",serealia,cereals
tkpi_0035,Ketupat ketan,serealia,cereals
tkpi_0038,"Ketan putih, matang",serealia,cereals
tkpi_0041,"Makaroni, mentah",serealia,cereals
tkpi_0042,Mi basah,serealia,cereals
tkpi_0043,Mi kering,serealia,cereals
tkpi_0044,Misoa,serealia,cereals
tkpi_0047,Amparan tatak,serealia,cereals
tkpi_0048,"Apang kukus, kue",serealia,cereals
tkpi_0049,"Apem, kue",serealia,cereals
tkpi_0050,Biskuit,serealia,cereals
tkpi_0051,"Bakpia, kue",serealia,cereals
tkpi_0052,Bakwan,serealia,cereals
tkpi_0053,Bantal,serealia,cereals
tkpi_0054,Baruasa,serealia,cereals
tkpi_0055,Batar daan,serealia,cereals
tkpi_0056,Bika ambon,serealia,cereals
tkpi_0057,Bingka,serealia,cereals
tkpi_0058,Bobengka,serealia,cereals
tkpi_0059,Bolu peca,serealia,cereals
tkpi_0060,Brem,serealia,cereals
tkpi_0063,Cangkuning,serealia,cereals
tkpi_0064,Dodol bali,serealia,cereals
tkpi_0065,Dodol galamai,serealia,cereals
tkpi_0066,Dodol kedondong,serealia,cereals
tkpi_0067,Dodol manado,serealia,cereals
tkpi_0068,Emping beras,serealia,cereals
tkpi_0069,Gemblong,serealia,cereals
tkpi_0070,Gendar goreng,serealia,cereals
tkpi_0071,Intip goreng,serealia,cereals
tkpi_0072,Jagung gerontol,serealia,cereals
tkpi_0073,Jagung titi,serealia,cereals
tkpi_0074,Japilus,serealia,cereals
tkpi_0075,Kakicak,serealia,cereals
tkpi_0076,Kambose,serealia,cereals
tkpi_0077,Kapusa,serealia,cereals
tkpi_0078,Keddo bodong,serealia,cereals
tkpi_0079,"Kelepon, kue",serealia,cereals
tkpi_0080,Kereput,serealia,cereals
tkpi_0081,Ketoprak,serealia,cereals
tkpi_0082,Ketupat kandangan,serealia,cereals
tkpi_0083,Koya,serealia,cereals
tkpi_0084,Koya mirasa,serealia,cereals
tkpi_0085,Koyabu,serealia,cereals
tkpi_0086,Kue ali,serealia,cereals
tkpi_0087,Kue bangen,serealia,cereals
tkpi_0088,Kue gelang,serealia,cereals
tkpi_0089,Kue jahe,serealia,cereals
tkpi_0091,Kue koa,serealia,cereals
tkpi_0092,Kue ku temu,serealia,cereals
tkpi_0093,Kue lumpur,serealia,cereals
tkpi_0094,Kue pelita,serealia,cereals
tkpi_0095,Kue putu cangkir,serealia,cereals
tkpi_0096,Kue sus,serealia,cereals
tkpi_0097,Kue timphan,serealia,cereals
tkpi_0098,Laksa/Putu mayang,serealia,cereals
tkpi_0100,Lupis ketan,serealia,cereals
tkpi_0101,Manan samin,serealia,cereals
tkpi_0102,Martabak india,serealia,cereals
tkpi_0103,Martabak mesir,serealia,cereals
tkpi_0104,Masekat,serealia,cereals
tkpi_0105,Mie aceh rebus,serealia,cereals
tkpi_0107,Mie bakso,serealia,cereals
tkpi_0108,Mie celon,serealia,cereals
tkpi_0109,Mie pangsit basah,serealia,cereals
tkpi_0110,Nasi gemuk,serealia,cereals
tkpi_0111,Nasi gurih,serealia,cereals
tkpi_0112,Nasi minyak,serealia,cereals
tkpi_0113,Nasi rames,serealia,cereals
tkpi_0114,Nopia spesial,serealia,cereals
tkpi_0115,Onde-onde,serealia,cereals
tkpi_0116,Padamaran,serealia,cereals
tkpi_0117,Pastel,serealia,cereals
tkpi_0119,Pundut nasi,serealia,cereals
tkpi_0120,Putri hijau,serealia,cereals
tkpi_0121,Putri selat,serealia,cereals
tkpi_0122,Putu sopa,serealia,cereals
tkpi_0123,Renggi goreng,serealia,cereals
tkpi_0126,Sarimuka,serealia,cereals
tkpi_0127,Spaghetti,serealia,cereals
tkpi_0128,Srikaya ketan,serealia,cereals
tkpi_0129,Sunduk lawang,serealia,cereals
tkpi_0130,Suwir-suwir,serealia,cereals
tkpi_0131,Tipa-tipa,serealia,cereals
tkpi_0132,Wajit camilan,serealia,cereals
tkpi_0133,Widaran,serealia,cereals
tkpi_0134,Wingko babat,serealia,cereals
