source_food_id,source_food_name,source_category,usda_fdc_id,usda_food_name,usda_category,similarity_score,confidence
tkpi_0136,"arrowroot, segar (arrowroot, fresh)",umbi berpati,168490,"Arrowroot, raw",Vegetables and Vegetable Products,1.0,HIGH
tkpi_0632,"durian, segar (durian, fresh)",buah,168192,"Durian, raw or frozen",Fruits and Fruit Juices,1.0,HIGH
tkpi_0661,"lemon, segar (lemon, fresh)",buah,167747,"Lemon juice, raw",Fruits and Fruit Juices,0.8792,HIGH
tkpi_0706,"rambutan, segar (rambutan)",buah,168167,"Rambutan, canned, syrup pack",Fruits and Fruit Juices,0.8024,HIGH
tkpi_0232,tepung arrowroot,umbi berpati,168490,"Arrowroot, raw",Vegetables and Vegetable Products,0.7464,HIGH
tkpi_0127,spaghetti,serealia,168911,"Spaghetti, spinach, dry",Cereal Grains and Pasta,0.716,HIGH
tkpi_0705,"rambutan binjai, segar (rambutan)",buah,168167,"Rambutan, canned, syrup pack",Fruits and Fruit Juices,0.7002,HIGH
tkpi_0386,"andewi, segar (endive, fresh)",sayuran,168412,"Endive, raw",Vegetables and Vegetable Products,0.6865,HIGH
tkpi_0636,"erbis, segar (passion-fruit (granadilla), fresh)",buah,169108,"Passion-fruit, (granadilla), purple, raw",Fruits and Fruit Juices,0.6857,HIGH
tkpi_0715,"sirsak, segar (soursop, fresh)",buah,167761,"Soursop, raw",Fruits and Fruit Juices,0.6839,HIGH
tkpi_1128,"ketumbar, kering (coriander, seed)",bumbu,170922,"Spices, coriander seed",Spices and Herbs,0.6762,HIGH
tkpi_0536,"terong, segar (eggplant, fresh)",sayuran,169228,"Eggplant, raw",Vegetables and Vegetable Products,0.6749,HIGH
tkpi_0952,"ikan cakalang asin, mentah (skipjack tuna,fish, salted, raw)",ikan/kerang/udang dll,175156,"Fish, tuna, fresh, skipjack, raw",Finfish and Shellfish Products,0.6734,HIGH
tkpi_0517,"peterseli, segar (parsley, fresh)",sayuran,170416,"Parsley, fresh",Vegetables and Vegetable Products,0.6708,HIGH
tkpi_0951,"ikan cakalang asap, mentah (skipjack tuna, fish,smoked, raw)",ikan/kerang/udang dll,175156,"Fish, tuna, fresh, skipjack, raw",Finfish and Shellfish Products,0.6673,HIGH
tkpi_0727,lempog durian,buah,168192,"Durian, raw or frozen",Fruits and Fruit Juices,0.6661,HIGH
tkpi_0866,"ikan bandeng, segar (milkfish, raw)",ikan/kerang/udang dll,173675,"Fish, milkfish, raw",Finfish and Shellfish Products,0.6608,HIGH
tkpi_0676,"melon, segar",buah,169912,"Melon balls, frozen",Fruits and Fruit Juices,0.6515,HIGH
tkpi_0529,"seledri, segar (celery, fresh)",sayuran,169988,"Celery, raw",Vegetables and Vegetable Products,0.647,MEDIUM
tkpi_0629,"carica papaya, segar (papaya)",buah,169107,"Papaya nectar, canned",Fruits and Fruit Juices,0.6459,MEDIUM
tkpi_0148,"kentang, segar (yam, fresh)",umbi berpati,170071,"Yam, raw",Vegetables and Vegetable Products,0.6379,MEDIUM
tkpi_0390,"bayam, segar (spinach, fresh)",sayuran,168462,"Spinach, raw",Vegetables and Vegetable Products,0.6364,MEDIUM
tkpi_0383,"akar tonjong, segar (lotus root, fresh)",sayuran,169250,"Lotus root, raw",Vegetables and Vegetable Products,0.6346,MEDIUM
tkpi_0623,"buah negri, segar (passion-fruit (granadilla), fresh)",buah,169108,"Passion-fruit, (granadilla), purple, raw",Fruits and Fruit Juices,0.6302,MEDIUM
tkpi_1100,madu (honey),konfeksioneri,169640,Honey,Sweets,0.6298,MEDIUM
tkpi_0644,"jeruk bali, segar (pummelo, fresh)",buah,167754,"Pummelo, raw",Fruits and Fruit Juices,0.6271,MEDIUM
tkpi_0259,"kacang hitam, kering (black turtle bean, raw)",kacang-kacangan,175186,"Beans, black turtle, mature seeds, raw",Legumes and Legume Products,0.6206,MEDIUM
tkpi_0620,"buah mentega (bisbul), segar (persimmons, japanese, fresh)",buah,169942,"Persimmons, japanese, dried",Fruits and Fruit Juices,0.6103,MEDIUM
tkpi_0499,"kucai, segar (chinese chives, fresh)",sayuran,169994,"Chives, raw",Vegetables and Vegetable Products,0.6073,MEDIUM
tkpi_0768,"sapi, liver, segar (liver, beef, fresh)",daging,169451,"Beef, variety meats and by-products, liver, raw",Beef Products,0.6058,MEDIUM
tkpi_0423,"daun kesum, segar (garlic, leaf, fresh)",sayuran,169230,"Garlic, raw",Vegetables and Vegetable Products,0.6018,MEDIUM
tkpi_0528,"selada air, segar (watercress, fresh)",sayuran,170068,"Watercress, raw",Vegetables and Vegetable Products,0.5939,MEDIUM
tkpi_0931,"keong, segar (snail, fresh)",ikan/kerang/udang dll,167744,"Mollusks, snail, raw",Finfish and Shellfish Products,0.5862,MEDIUM
tkpi_0776,ham,daging,168223,"Pork, fresh, leg (ham), whole, separable lean and fat, cooked, roasted",Pork Products,0.5832,MEDIUM
tkpi_0011,"beras parboiled (rice, parboiled)",serealia,169707,"Rice, white, long-grain, parboiled, enriched, dry",Cereal Grains and Pasta,0.5812,MEDIUM
tkpi_0407,"daun gelang, segar (purslane, leaf, fresh)",sayuran,169274,"Purslane, raw",Vegetables and Vegetable Products,0.572,MEDIUM
tkpi_0541,"terung panjang (eggplant, fresh)",sayuran,169228,"Eggplant, raw",Vegetables and Vegetable Products,0.5706,MEDIUM
tkpi_0756,"kambing, daging, segar (goat, meat, fresh)",daging,175303,"Game meat, goat, raw","Lamb, Veal, and Game Products",0.5656,MEDIUM
tkpi_1083,minyak kelapa (coconut oil),minyak/lemak,171412,"Oil, coconut",Fats and Oils,0.5625,MEDIUM
tkpi_1050,"telur bebek, asin, mentah (duck, egg, salted, raw)",telur,172189,"Egg, duck, whole, fresh, raw",Dairy and Egg Products,0.5607,MEDIUM
tkpi_0418,"daun kecipir, segar (winged bean, leaf, fresh)",sayuran,170478,"Winged bean leaves, raw",Vegetables and Vegetable Products,0.5603,MEDIUM
tkpi_0673,"manggis, segar (mangosteen, fresh)",buah,169090,"Mangosteen, canned, syrup pack",Fruits and Fruit Juices,0.5581,MEDIUM
tkpi_0759,"kuda, daging, segar (horse, meat, fresh)",daging,175087,"Game meat, horse, cooked, roasted","Lamb, Veal, and Game Products",0.5573,MEDIUM
tkpi_1125,"daun salam, bubuk (bay-leaf)",bumbu,170917,"Spices, bay leaf",Spices and Herbs,0.5561,MEDIUM
tkpi_0719,"sukun tua, segar (breadfruit, fresh)",buah,171714,"Breadfruit, raw",Fruits and Fruit Juices,0.5544,MEDIUM
tkpi_0486,"kecipir muda, segar (winged bean, fresh)",sayuran,170478,"Winged bean leaves, raw",Vegetables and Vegetable Products,0.554,MEDIUM
tkpi_0014,"cantel, mentah (sorghum, raw)",serealia,169716,Sorghum grain,Cereal Grains and Pasta,0.5498,MEDIUM
tkpi_0943,"udang, segar (shrimp, fresh)",ikan/kerang/udang dll,175179,"Crustaceans, shrimp, raw",Finfish and Shellfish Products,0.5446,MEDIUM
tkpi_0548,"wortel, segar (carrot, fresh)",sayuran,170491,"Carrot juice, canned",Vegetables and Vegetable Products,0.5399,MEDIUM
