kode_pangan,food_name_original,category_original,tipe_bahan,source,source_url,water_g,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,ash_g,calcium_mg,phosphorus_mg,iron_mg,sodium_mg,potassium_mg,copper_mg,zinc_mg,retinol_mcg,beta_carotene_mcg,carotene_total_mcg,vitamin_b1_mg,vitamin_b2_mg,niacin_mg,vitamin_c_mg,notes
AR001,"Beras giling, mentah (Rice, raw)",Serealia,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,,357,8.4,1.7,77.1,0.2,0.8,147,81,1.8,27,71.0,0.10,0.5,0,0,0,0.20,0.08,2.6,0,
AR002,"Beras giling var pelita, mentah (Rice, raw)",Serealia,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,,369,9.5,1.4,77.1,0.4,0.6,68,171,1.4,34,0.0,0.00,0.0,0,0,0,0.26,0.00,0.0,0,
AR003,"Beras giling var rojolele, mentah (Rice. Raw)",Serealia,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,12.0,357,8.4,1.7,77.1,0.2,0.8,147,81,1.8,34,112.9,0.14,0.1,,0,80,0.20,0.02,1.5,0,
AR004,"Beras hitam, mentah (Rice, raw)",Serealia,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,12.9,351,8.0,1.3,76.9,20.1,0.9,6,198,0.1,15,105.0,0.10,1.6,0,0,0,0.21,0.06,0.0,0,
AR005,"Beras jagung kuning, kering, mentah (Corn, yellow",Serealia,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,10.8,358,5.5,0.1,82.7,10.0,0.9,20,90,1.4,1,80.0,0.10,4.1,,641,,0.12,0.08,1.0,3,
AR006,"Beras jagung putih, kering, mentah (Corn, white, died, crushed, raw)",Serealia,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,22.5,307,4.8,0.1,71.8,10.0,0.8,17,78,1.2,1,70.0,0.10,3.5,,301,,0.15,0.07,0.9,0,
AR007,"Beras ketan hitam tumbuk, mentah (Glutinous rice, black, husk,raw)",Serealia,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,13.7,360,8.0,2.3,74.5,1.0,1.5,10,347,6.2,11,288.0,0.28,2.2,0,0,0,0.24,0.10,2.0,0,
AR008,"Beras ketan putih tumbuk, mentah (Glutinous rice, white, husk,raw)",Serealia,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,12.9,361,7.4,0.8,78.4,0.4,0.5,13,157,3.4,3,282.0,0.28,2.2,0,0,0,0.28,0.00,1.4,0,
AR009,"Beras ladang, mentah (Rice, raw)",Serealia,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,9.8,376,7.5,3.8,78.0,5.9,0.9,20,110,0.8,10,70.0,0.10,1.4,0,0,,0.20,0.20,5.1,0,
AR010,"Beras menir, mentah (Rice, crushed, raw)",Serealia,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,12.0,362,7.7,4.4,73.0,0.2,0.2,22,272,3.7,90,201.0,0.10,0.5,0,0,,0.55,0.00,1.9,0,
AR011,"Beras parboiled (Rice, parboiled)",Serealia,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,10.0,353,6.8,0.6,80.0,0.5,2.5,5,142,0.8,2,46.0,0.28,1.0,0,0,,0.22,0.11,3.4,0,
AR012,"Beras tumbuk, mentah (Rice with husk, raw)",Serealia,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,11.5,354,7.8,0.4,79.9,3.8,0.4,3,112,0.6,5,85.0,0.50,1.5,0,0,,0.25,0.22,5.1,0,
AR013,"Beras tumbuk merah, mentah (Rice, brown with husk, raw)",Serealia,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,14.6,352,7.3,0.9,76.2,0.8,1.0,15,257,4.2,10,202.0,0.36,1.9,0,0,0,0.34,0.00,3.3,0,
AR014,"Cantel, mentah (Sorghum, raw)",Serealia,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,11.0,366,11.0,3.3,73.0,1.2,1.7,28,287,4.4,7,249.0,,,0,0,,0.09,0.14,2.8,0,
AR015,"Jagung muda, kuning, mentah (Corn,baby, yellow, raw)",Serealia,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,61.8,147,5.1,0.7,31.5,1.3,0.9,6,122,1.1,5,33.6,0.13,0.9,0,113,261,0.24,0.10,0.8,9,
AR016,"Jagung kuning pipil, kering, mentah (Corn, yellow, raw)",Serealia,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,11.5,366,9.8,7.3,69.1,2.2,2.4,30,538,2.3,5,79.4,0.10,4.1,,636,641,0.12,0.12,1.8,3,
AR017,"Jagung pipil var. harapan, kering (Corn, dried, raw)",Serealia,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,11.3,367,6.2,5.1,76.2,2.6,1.2,7,354,2.8,1,79.6,0.10,4.1,,637,385,0.19,0.08,1.0,0,
AR018,"Jagung pipil var. metro, kering (Corn, dried, raw)",Serealia,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,10.6,368,5.5,4.6,78.0,2.9,1.3,7,300,2.4,1,80.2,0.10,4.1,,642,554,0.16,0.08,1.0,0,
AR019,"Jali, mentah (Job's tear/adlay, raw)",Serealia,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,23.0,324,11.0,4.0,61.0,3.1,1.0,213,176,11.0,24,,0.10,0.4,,,,0.14,0.08,1.8,0,
AR020,"Jawawut, mentah (Italian millet, raw)",Serealia,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,11.9,364,9.7,3.5,73.4,8.2,1.5,28,311,5.3,7,255.1,0.45,1.5,,33,,0.33,0.28,4.5,,
AR021,"Jampang huma, mentah (Ragi millet, raw)",Serealia,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,11.7,350,6.2,1.4,78.2,1.7,2.5,329,254,5.3,53,396.7,0.70,1.6,,33,,0.51,0.30,0.7,0,
AP001,Nasi,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,56.7,180,3.0,0.3,39.8,0.2,0.2,25,27,0.4,1,38.0,0.10,0.6,0,0,,0.05,0.10,2.6,0,
AP002,Nasi tim,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,71.0,120,2.4,0.4,26.0,0.5,0.2,3,7,0.4,0,23.9,0.10,0.4,,0,,0.10,0.00,1.4,0,
AP003,Tapai beras,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,75.5,99,1.7,0.3,22.4,0.0,0.1,4,19,0.0,26,2.0,0.10,0.5,0,0,0,0.00,0.00,0.0,0,Nasi yang difermentasi 2-3 hari dengan ragi dibungkus daun pisang
AP004,"Tepung beras, mentah",Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,12.0,353,7.0,0.5,80.0,2.4,0.5,5,140,0.8,5,241.0,0.10,0.8,0,0,0,0.12,0.10,1.2,0,
AP005,Nasi beras merah,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,64.0,149,2.8,0.4,32.5,0.3,0.3,6,63,0.8,5,91.4,0.20,0.9,0,0,0,0.06,0.00,1.6,0,
AP006,"Bihun, mentah",Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,12.9,348,4.7,0.1,82.1,1.2,0.2,6,35,1.8,12,5.0,0.08,0.7,0,0,0,0.00,0.00,0.2,0,
AP007,Bihun goreng instan,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,9.0,381,6.1,3.9,80.3,,0.7,266,151,2.9,928,,,,58,,400,0.37,,,0,
AP008,"Bihun Jagung, mentah",Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,11.3,354,0.5,0.3,87.4,3.0,0.5,13,111,0.6,49,1.4,0.40,0.0,,0,0,0.02,0.02,0.3,0,"Bihun, produk setengah jadi berbahan dasar tepung jagung"
AP009,Nasi jagung,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,11.0,357,8.8,0.5,79.5,6.2,0.3,5,43,0.6,2,30.4,0.10,0.3,,0,0,0.30,0.02,0.1,0,Nasi yang berasal dari beras berbahan dasar jagung pipil
AP010,"Jagung muda, rebus",Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,53.2,142,5.0,0.7,30.3,0.8,0.8,5,105,0.8,5,24.3,0.20,0.9,,145,225,0.15,0.00,0.7,0,
AP011,"Jagung kuning, tepung",Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,12.0,355,9.2,3.9,73.7,7.2,1.2,10,256,2.4,11,24.4,0.23,1.7,,0,510,0.38,0.02,0.3,,
AP012,"Jagung kuning pipil, rebus",Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,63.7,154,3.8,3.5,28.4,0.7,0.6,7,171,0.5,5,56.4,0.10,4.4,,818,234,0.08,0.10,1.7,0,
AP013,Tepung jagung putih,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,12.0,355,9.2,3.9,73.7,7.2,1.2,10,256,2.4,11,24.4,0.23,1.7,,0,0,0.38,0.02,0.3,,
AP014,Ketupat ketan,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,52.0,212,4.0,4.6,38.6,0.2,0.9,8,46,1.0,,,,,0,0,0,0.07,,0.2,0,
AP015,"Ketan hitam, matang",Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,56.9,181,4.0,1.2,37.3,0.3,0.6,9,144,1.7,9,18.4,0.10,0.7,0,0,0,0.06,0.00,0.5,0,
AP016,Tapai ketan hitam,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,50.2,166,3.8,1.0,34.4,0.3,0.6,8,106,1.6,5,12.0,,,,,0,0.02,,,0,Ketan hitam matang yang difermentasi 2-3 hari dengan ragi dibungkus daun pisang
AP017,"Ketan putih, matang",Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,60.7,163,3.0,0.4,35.7,0.2,0.2,4,55,0.7,8,16.8,0.10,0.7,0,0,0,0.07,0.00,0.5,0,
AP018,Tapai ketan putih,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,58.9,172,3.0,0.5,37.5,0.6,0.1,6,35,0.5,1,,,,0,0,0,0.04,0.00,0.2,0,Ketan putih matang  yang difermentasi 2-3 hari dengan ragi dibungkus daun pisang
AP019,"Maizena, tepung",Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,14.0,341,0.3,0.0,85.0,7.0,0.7,20,30,1.5,6,9.0,0.22,1.6,0,0,0,0.00,0.09,1.3,0,
AP020,"Makaroni, mentah",Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,11.7,353,8.7,0.4,78.7,4.9,2.5,20,80,0.3,5,0.0,0.28,1.4,,,0,0.10,0.13,2.2,0,
AP021,Mi basah,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,80.0,88,0.6,3.3,14.0,0.1,2.1,14,13,6.8,63,13.5,0.06,0.4,,0,,0.00,0.00,0.0,0,
AP022,Mi kering,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,10.6,339,10.0,1.7,6.3,0.4,1.4,31,143,3.9,760,83.0,0.29,1.9,,,0,0.00,0.08,2.2,0,
AP023,Misoa,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,10.0,345,8.5,2.2,78.0,0.5,1.3,52,120,8.7,"3,064",44.0,0.08,0.0,0,0,0,0.00,0.02,0.2,0,"Seperti mie, bentuk pipih"
AP024,Roti putih,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,40.0,248,8.0,1.2,50.0,9.1,0.8,10,95,1.5,530,91.0,0.15,0.9,0,0,0,0.10,0.29,2.4,0,
AP025,Tepung terigu,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,11.8,333,9.0,1.0,77.2,0.3,1.0,22,150,1.3,2,0.0,0.00,2.8,0,0,0,0.10,0.07,1.0,0,
AP026,Amparan tatak,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,58.4,191,1.3,5.5,34.0,,0.8,,,,,,,,,,,,,,,"Seperti kue talam. Berbahan dasar tepung beras, santan, dan pisang"
AP027,"Apang kukus, kue",Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,49.5,202,3.0,0.3,46.7,,0.5,,,,,,,,,,,,,,,"Seperti kue mangkok. Berbahan dasar tepung beras, santan dan gula merah yang diolah dengan cara di kukus"
AP028,"Apem, kue",Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,63.1,148,2.0,0.5,33.9,,0.5,,,,,,,,,,,,,,,"Seperti kue mangkok. Berbahan dasar tepung beras, santan dan gula merah yang diolah dengan cara di kukus"
AP029,Biskuit,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,2.2,458,6.9,14.4,75.1,2.1,1.4,62,87,2.7,241,20.3,0.16,0.6,0,14,,0.09,0.15,1.4,0,
AP030,"Bakpia, kue",Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,38.9,272,8.7,6.7,44.1,0.9,1.6,194,117,4.5,,,,,,,"1,392",0.31,1.00,2.9,0,
AP031,Bakwan,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,40.5,280,8.2,10.2,39.0,3.4,2.1,204,79,7.0,,,,,0,,0,0.08,,,0,Di Jawa Barat disebut bala-bala; di Jawa Timur disebut ote-ote. Berbahan dasar campuran tepung terigu dan sayuran yang diolah dengan cara di goreng
AP032,Bantal,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,52.3,190,3.3,0.3,43.5,3.4,0.6,9,0,0.4,164,84.0,0.20,0.9,,,,0.27,0.02,3.6,,Jajanan dari ketan dan kacang tolo dibungkus daun kelapa diolah dengan cara dikukus. (Lontong ketan dan kacang)
AP033,Baruasa,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,5.3,417,6.5,8.2,79.3,,0.7,,,,,,,,,,,,,,,"Kue kering berbahan dasar tepung beras, gula pasir, telur, kelapa parut diolah dengan cara dipanggang"
