,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,water_g,ash_g,calcium_mg,phosphorus_mg,iron_mg,sodium_mg,potassium_mg,copper_mg,zinc_mg,retinol_mcg,beta_carotene_mcg,vitamin_b1_mg,vitamin_b2_mg,niacin_mg,vitamin_c_mg
energy_kcal,1.0,0.6751,0.6689,0.9661,0.7284,0.6751,0.7459,-0.0963,-0.3624,0.0098,-0.0717,-0.218,0.0003,0.0003,-0.1876,-0.179,0.2342,0.2342,0.2342,0.2927
protein_g,0.6751,1.0,0.9907,0.6988,0.9052,1.0,0.9052,0.3163,0.061,0.3802,0.2993,0.1193,0.3851,0.3851,0.0638,0.0557,0.1581,0.1581,0.1581,0.2703
fat_g,0.6689,0.9907,1.0,0.6923,0.8968,0.9907,0.8968,0.3115,0.0709,0.3766,0.2946,0.1136,0.3816,0.3816,0.06,0.052,0.1566,0.1566,0.1566,0.2678
carbohydrate_g,0.9661,0.6988,0.6923,1.0,0.7545,0.6988,0.772,-0.0419,-0.324,0.0772,-0.0156,-0.1665,0.0669,0.0669,-0.1789,-0.1934,0.2263,0.2263,0.2263,0.3868
fiber_g,0.7284,0.9052,0.8968,0.7545,1.0,0.9052,0.9114,0.2734,-0.0272,0.3338,0.273,0.1059,0.3399,0.3399,-0.0843,-0.0949,0.1747,0.1747,0.1747,0.2986
water_g,0.6751,1.0,0.9907,0.6988,0.9052,1.0,0.9052,0.3163,0.061,0.3802,0.2993,0.1193,0.3851,0.3851,0.0638,0.0557,0.1581,0.1581,0.1581,0.2703
ash_g,0.7459,0.9052,0.8968,0.772,0.9114,0.9052,1.0,0.3504,-0.0447,0.42,0.3511,0.181,0.4255,0.4255,-0.0135,-0.0233,0.1747,0.1747,0.1747,0.2986
calcium_mg,-0.0963,0.3163,0.3115,-0.0419,0.2734,0.3163,0.3504,1.0,0.6901,0.802,0.9687,0.7978,0.8125,0.8125,0.4388,0.4251,0.3336,0.3336,0.3336,0.5406
phosphorus_mg,-0.3624,0.061,0.0709,-0.324,-0.0272,0.061,-0.0447,0.6901,1.0,0.5534,0.6685,0.7336,0.5607,0.5607,0.4797,0.4721,0.2302,0.2302,0.2302,0.3935
iron_mg,0.0098,0.3802,0.3766,0.0772,0.3338,0.3802,0.42,0.802,0.5534,1.0,0.7805,0.6174,0.9871,0.9871,0.2355,0.215,0.4159,0.4159,0.4159,0.6778
sodium_mg,-0.0717,0.2993,0.2946,-0.0156,0.273,0.2993,0.3511,0.9687,0.6685,0.7805,1.0,0.787,0.7917,0.7917,0.4577,0.4436,0.3444,0.3444,0.3444,0.5586
potassium_mg,-0.218,0.1193,0.1136,-0.1665,0.1059,0.1193,0.181,0.7978,0.7336,0.6174,0.787,1.0,0.6283,0.6283,0.4538,0.4414,0.0858,0.0858,0.0858,0.392
copper_mg,0.0003,0.3851,0.3816,0.0669,0.3399,0.3851,0.4255,0.8125,0.5607,0.9871,0.7917,0.6283,1.0,1.0,0.229,0.2088,0.4105,0.4105,0.4105,0.6689
zinc_mg,0.0003,0.3851,0.3816,0.0669,0.3399,0.3851,0.4255,0.8125,0.5607,0.9871,0.7917,0.6283,1.0,1.0,0.229,0.2088,0.4105,0.4105,0.4105,0.6689
retinol_mcg,-0.1876,0.0638,0.06,-0.1789,-0.0843,0.0638,-0.0135,0.4388,0.4797,0.2355,0.4577,0.4538,0.229,0.229,1.0,0.9842,0.1361,0.1361,0.1361,0.0586
beta_carotene_mcg,-0.179,0.0557,0.052,-0.1934,-0.0949,0.0557,-0.0233,0.4251,0.4721,0.215,0.4436,0.4414,0.2088,0.2088,0.9842,1.0,0.1401,0.1401,0.1401,0.0268
vitamin_b1_mg,0.2342,0.1581,0.1566,0.2263,0.1747,0.1581,0.1747,0.3336,0.2302,0.4159,0.3444,0.0858,0.4105,0.4105,0.1361,0.1401,1.0,1.0,1.0,0.585
vitamin_b2_mg,0.2342,0.1581,0.1566,0.2263,0.1747,0.1581,0.1747,0.3336,0.2302,0.4159,0.3444,0.0858,0.4105,0.4105,0.1361,0.1401,1.0,1.0,1.0,0.585
niacin_mg,0.2342,0.1581,0.1566,0.2263,0.1747,0.1581,0.1747,0.3336,0.2302,0.4159,0.3444,0.0858,0.4105,0.4105,0.1361,0.1401,1.0,1.0,1.0,0.585
vitamin_c_mg,0.2927,0.2703,0.2678,0.3868,0.2986,0.2703,0.2986,0.5406,0.3935,0.6778,0.5586,0.392,0.6689,0.6689,0.0586,0.0268,0.585,0.585,0.585,1.0
