,protein_g,fat_g,fiber_g,water_g,calcium_mg,phosphorus_mg,iron_mg,sodium_mg,potassium_mg,copper_mg,zinc_mg,retinol_mcg,beta_carotene_mcg,carotene_total_mcg,vitamin_b1_mg,vitamin_b2_mg,niacin_mg,vitamin_c_mg
protein_g,1.0,-0.0009,-0.0144,-0.0012,-0.0056,-0.0056,-0.0058,-0.0169,0.0472,-0.0196,-0.0195,-0.0313,-0.0245,0.0314,-0.0085,0.0446,0.0456,-0.0172
fat_g,-0.0009,1.0,0.0605,-0.0012,-0.0056,-0.0056,-0.0058,0.0517,0.0472,-0.0196,-0.0195,0.0279,-0.0245,-0.0278,-0.0085,0.0446,0.0456,-0.0172
fiber_g,-0.0144,0.0605,1.0,-0.0204,0.3409,0.3529,0.3574,0.0699,0.1166,0.1215,0.1063,0.0103,0.4183,0.2617,0.4903,0.2953,0.3568,0.3986
water_g,-0.0012,-0.0012,-0.0204,1.0,-0.008,-0.008,-0.0083,-0.0239,-0.0262,-0.0278,-0.0276,-0.0442,-0.0347,-0.0394,-0.0121,-0.0277,-0.0271,-0.0243
calcium_mg,-0.0056,-0.0056,0.3409,-0.008,1.0,0.9223,0.8881,0.2777,0.2507,0.2553,0.2472,0.1513,0.1616,0.1923,0.4808,0.1732,0.1997,0.2618
phosphorus_mg,-0.0056,-0.0056,0.3529,-0.008,0.9223,1.0,0.9632,0.3108,0.2824,0.2759,0.2679,0.1608,0.1809,0.1923,0.4808,0.1939,0.2205,0.2727
iron_mg,-0.0058,-0.0058,0.3574,-0.0083,0.8881,0.9632,1.0,0.3136,0.2846,0.2772,0.2696,0.1683,0.182,0.1819,0.4604,0.1981,0.2342,0.2554
sodium_mg,-0.0169,0.0517,0.0699,-0.0239,0.2777,0.3108,0.3136,1.0,0.8759,0.8027,0.8052,-0.1496,0.5075,-0.1771,0.1092,0.6416,0.5441,0.0041
potassium_mg,0.0472,0.0472,0.1166,-0.0262,0.2507,0.2824,0.2846,0.8759,1.0,0.8797,0.8873,-0.2118,0.5541,-0.2173,0.0743,0.7174,0.6181,-0.0467
copper_mg,-0.0196,-0.0196,0.1215,-0.0278,0.2553,0.2759,0.2772,0.8027,0.8797,1.0,0.9465,-0.1907,0.5277,-0.2089,0.0714,0.6732,0.5731,-0.0458
zinc_mg,-0.0195,-0.0195,0.1063,-0.0276,0.2472,0.2679,0.2696,0.8052,0.8873,0.9465,1.0,-0.1985,0.5318,-0.2291,0.0667,0.6805,0.584,-0.0547
retinol_mcg,-0.0313,0.0279,0.0103,-0.0442,0.1513,0.1608,0.1683,-0.1496,-0.2118,-0.1907,-0.1985,1.0,-0.1122,0.0926,0.0626,-0.1699,-0.0956,0.199
beta_carotene_mcg,-0.0245,-0.0245,0.4183,-0.0347,0.1616,0.1809,0.182,0.5075,0.5541,0.5277,0.5318,-0.1122,1.0,0.0404,0.2544,0.5451,0.552,0.2749
carotene_total_mcg,0.0314,-0.0278,0.2617,-0.0394,0.1923,0.1923,0.1819,-0.1771,-0.2173,-0.2089,-0.2291,0.0926,0.0404,1.0,0.2732,-0.0858,0.0098,0.4633
vitamin_b1_mg,-0.0085,-0.0085,0.4903,-0.0121,0.4808,0.4808,0.4604,0.1092,0.0743,0.0714,0.0667,0.0626,0.2544,0.2732,1.0,0.3851,0.287,0.4136
vitamin_b2_mg,0.0446,0.0446,0.2953,-0.0277,0.1732,0.1939,0.1981,0.6416,0.7174,0.6732,0.6805,-0.1699,0.5451,-0.0858,0.3851,1.0,0.7616,0.0948
niacin_mg,0.0456,0.0456,0.3568,-0.0271,0.1997,0.2205,0.2342,0.5441,0.6181,0.5731,0.584,-0.0956,0.552,0.0098,0.287,0.7616,1.0,0.0859
vitamin_c_mg,-0.0172,-0.0172,0.3986,-0.0243,0.2618,0.2727,0.2554,0.0041,-0.0467,-0.0458,-0.0547,0.199,0.2749,0.4633,0.4136,0.0948,0.0859,1.0
